ID_reporte,fecha_reporte,ID_clima,id_producto,ID_finca,PH,Tipo_cafe,ubicacion,hectarias,Humedad,Temperatura,Fecha_clima
7253,5/19/2025,201,2,105,5.3,Robusta,Tolima,10,87,25.1,5/19/2025
2732,5/19/2025,204,4,103,6.6,Arábica,Antioquia,17,93,27,5/19/2025
5743,5/18/2025,204,2,105,5.5,Robusta,Tolima,13,83,22.1,5/18/2025
5522,5/8/2025,203,2,102,5.9,Excelsa,Huila,15,73,18.2,5/8/2025
7341,5/31/2025,201,1,103,5.2,Arábica,Nariño,8,61,24.6,5/31/2025
6203,5/16/2025,203,1,105,6.4,Liberica,Huila,16,91,22.1,5/16/2025
7364,5/10/2025,203,2,101,5.5,Excelsa,Nariño,12,80,27.2,5/10/2025
1440,5/22/2025,201,3,101,6.4,Arábica,Huila,18,70,24.5,5/22/2025
3751,5/19/2025,202,1,105,7,Excelsa,Huila,15,90,28,5/19/2025
8488,5/29/2025,203,2,105,5.9,Arábica,Caldas,16,69,21.3,5/29/2025
6273,5/19/2025,203,3,103,99.9,Arábica,Tolima,11,66,27.3,5/19/2025
5000,5/15/2025,202,1,103,5.6,Liberica,Caldas,8,94,23.6,5/15/2025
7034,5/9/2025,201,3,104,5.9,Robusta,Tolima,11,90,20.1,5/9/2025
1583,5/11/2025,204,3,104,6.7,Arábica,Tolima,19,92,20.2,5/11/2025
10931,5/3/2025,201,3,105,6.9,Liberica,Antioquia,12,89,24.3,5/3/2025
8052,5/26/2025,204,2,102,6.2,Robusta,Tolima,18,75,22.7,5/26/2025
9159,5/6/2025,204,4,103,6.5,Excelsa,Antioquia,9,79,20.7,5/6/2025
10897,5/15/2025,202,3,103,6,Excelsa,Huila,13,73,20.4,5/15/2025
5641,5/27/2025,202,3,102,5.6,Excelsa,Huila,9,74,21.2,5/27/2025
10486,5/31/2025,203,1,101,6.6,Arábica,Nariño,9,78,25.8,5/31/2025
5948,5/1/2025,203,2,101,6.9,Excelsa,Tolima,20,94,28.1,5/1/2025
10921,5/7/2025,203,4,104,5.2,Liberica,Tolima,16,95,18.2,5/7/2025
2964,5/30/2025,204,1,104,6.8,Robusta,Tolima,6,79,29.5,5/30/2025
9244,5/27/2025,203,1,102,5.9,Excelsa,Antioquia,12,66,29.3,5/27/2025
9848,5/24/2025,204,1,102,5.9,Excelsa,Nariño,20,61,28.9,5/24/2025
1322,5/11/2025,204,3,102,5.4,Robusta,Tolima,19,89,23.9,5/11/2025
3679,5/26/2025,203,3,101,5.9,Robusta,Huila,16,92,18.3,5/26/2025
5626,5/10/2025,201,3,104,6.5,Liberica,Nariño,11,84,19.1,5/10/2025
5950,5/7/2025,202,1,101,5.6,Liberica,Caldas,7,61,22.8,5/7/2025
1252,5/13/2025,202,1,104,5.7,Arábica,Antioquia,8,81,28.1,5/13/2025
4974,5/11/2025,204,4,103,6.2,Robusta,Huila,12,63,28.4,5/11/2025
1036,5/8/2025,201,4,102,99.9,Arábica,Antioquia,10,80,18.8,5/8/2025
9363,5/18/2025,201,2,101,6.8,Robusta,Nariño,11,60,21.6,5/18/2025
2514,5/17/2025,203,2,103,5.5,Excelsa,Caldas,13,66,19.3,5/17/2025
10318,5/9/2025,202,2,103,5.7,Arábica,Caldas,14,89,19.3,5/9/2025
1040,5/3/2025,203,1,105,5.3,Arábica,Tolima,15,75,24.7,5/3/2025
4466,5/21/2025,202,3,101,5.2,Arábica,Caldas,7,82,20.6,5/21/2025
2761,5/2/2025,201,2,103,5.9,Excelsa,Nariño,9,67,27.9,5/2/2025
4724,5/25/2025,201,3,105,6.9,Robusta,Nariño,10,81,29.1,5/25/2025
9285,5/6/2025,204,3,105,5.9,Arábica,Huila,12,74,18.9,5/6/2025
5994,5/29/2025,201,2,102,5.9,Liberica,Huila,6,77,19,5/29/2025
9128,5/6/2025,203,2,102,5.6,Robusta,Caldas,12,73,25.2,5/6/2025
4033,5/27/2025,204,1,103,5.3,Robusta,Nariño,9,92,28.7,5/27/2025
8939,5/25/2025,203,3,105,5,Robusta,Caldas,5,87,25,5/25/2025
4040,5/16/2025,201,2,101,6.6,Excelsa,Huila,16,82,21.4,5/16/2025
10656,5/22/2025,202,3,101,6.9,Liberica,Caldas,19,95,18.4,5/22/2025
3546,5/17/2025,203,4,104,5.5,Arábica,Tolima,14,70,26.8,5/17/2025
3593,5/7/2025,203,2,103,5.3,Robusta,Antioquia,6,83,23.1,5/7/2025
2189,5/19/2025,202,1,103,5,Excelsa,Antioquia,14,63,27.9,5/19/2025
8967,5/26/2025,201,2,102,5.2,Liberica,Tolima,16,80,28,5/26/2025
1108,5/2/2025,202,2,101,6.3,Excelsa,Antioquia,10,84,24,5/2/2025
2316,5/21/2025,201,2,102,5.8,Excelsa,Caldas,9,86,27.8,5/21/2025
9188,5/29/2025,202,1,104,5.2,Robusta,Huila,20,81,19,5/29/2025
3754,5/23/2025,202,2,105,5.6,Excelsa,Caldas,9,80,25.8,5/23/2025
10754,5/10/2025,204,2,105,5.2,Liberica,Huila,6,95,24.9,5/10/2025
3877,5/23/2025,201,1,102,6.8,Liberica,Nariño,6,64,23.6,5/23/2025
6324,5/28/2025,202,1,102,7,Robusta,Antioquia,18,83,28.7,5/28/2025
4571,5/25/2025,201,1,104,5.4,Robusta,Huila,14,60,23.4,5/25/2025
3895,5/13/2025,201,2,101,6,Liberica,Caldas,13,76,20,5/13/2025
1972,5/25/2025,202,2,101,6.3,Robusta,Nariño,13,80,26,5/25/2025
7688,5/3/2025,204,2,103,5.1,Liberica,Huila,18,62,28.1,5/3/2025
9576,5/21/2025,204,1,105,6.6,Robusta,Huila,14,65,27.5,5/21/2025
3021,5/21/2025,201,2,101,6,Arábica,Huila,14,70,21.5,5/21/2025
10055,5/27/2025,201,2,104,5.1,Liberica,Tolima,19,85,28.3,5/27/2025
1953,5/31/2025,204,1,104,5,Liberica,Tolima,10,60,18.1,5/31/2025
6360,5/20/2025,202,3,105,6.5,Excelsa,Caldas,17,80,18.5,5/20/2025
4858,5/8/2025,201,4,102,5.4,Liberica,Antioquia,19,78,18.1,5/8/2025
4146,5/18/2025,203,4,102,5.3,Liberica,Nariño,19,60,20.4,5/18/2025
4306,5/18/2025,201,4,103,7,Liberica,Huila,19,77,25.5,5/18/2025
4007,5/18/2025,204,4,102,6.3,Robusta,Huila,12,87,24.1,5/18/2025
8771,5/5/2025,203,4,101,6,Robusta,Tolima,9,60,29.5,5/5/2025
8439,5/24/2025,203,1,104,6.3,Arábica,Huila,13,75,25.1,5/24/2025
8943,5/16/2025,202,3,102,6.7,Liberica,Nariño,6,63,23.3,5/16/2025
10239,5/30/2025,204,4,101,5.5,Robusta,Tolima,6,71,20.2,5/30/2025
2057,5/22/2025,202,1,105,5.6,Excelsa,Nariño,10,70,26.9,5/22/2025
4155,5/11/2025,204,4,105,6,Liberica,Nariño,18,83,21.5,5/11/2025
10190,5/30/2025,204,2,103,5.2,Robusta,Nariño,5,83,21.5,5/30/2025
8826,5/4/2025,201,3,102,5.5,Liberica,Tolima,11,86,21.3,5/4/2025
